X;Y;osm_id;type;name;operator;wheelchair;access;opening_hours;fee;supervised;for_everyone;for_child;for_women;for_men;drinking_water;toilets_disposal;toilets_position;paper_supplied;handwashing;changing_table;com_insee;com_nom
1.2900755;44.8210258004843;node/4239545713;toilettes_publiques;;;yes;yes;;no;;;;;;yes;flush;;;;;"24207";Groléjac
1.3873399;44.9536628004726;node/4239545725;toilettes_publiques;;;;yes;;no;;;;;;yes;;;;;;"24050";Borrèze
-0.2512627;46.6458546002311;node/4239815427;toilettes_publiques;;;limited;;;no;;;;;;;;;;;;"79202";Parthenay
-0.3714002;44.4575396005109;node/4239871956;toilettes_publiques;;;limited;;;no;;;;;;;;;;;;"33547";Villandraut
-0.6448131;45.7454202003801;node/4240846050;toilettes_publiques;;;;;;;;;;;;;;;;;;"17415";Saintes
-0.6838107;45.8813323003605;node/4240846061;toilettes_publiques;;;;;;;;;;;;;;;;;;"17397";Saint-Savinien
-0.9644076;45.937790500352;node/4240849211;toilettes_publiques;;;yes;;;yes;;;;;;;;;;;no;"17299";Rochefort
-0.1867179;45.681651500389;node/4240849329;toilettes_publiques;;;;;;;;;;;;;;;;;;"16167";Jarnac
1.4914414;46.2398147003037;node/4250668793;toilettes_publiques;;;;;;;;;;;;;;;;;;"23176";La Souterraine
0.2757633;44.2908723005203;node/4254994206;toilettes_publiques;;;;yes;;;;;;;;;;;;;;"47078";Damazan
0.8702334;46.5637118002465;node/4263022915;toilettes_erp;Total;;;;24/7;;;;;;;;;;;;;"86223";Saint-Germain
-0.3795052;43.3772588005419;node/4265848652;toilettes_publiques;;;;yes;;no;;yes;;;;;;;;;no;"64519";Serres-Castet
-1.7780478;43.3725628005419;node/4273581196;toilettes_publiques;;Commune d'Hendaye;;yes;;;;yes;;;;;flush;;;;no;"64260";Hendaye
-1.3715334;46.035193600337;node/4282472889;toilettes_publiques;;;;;;;;;;;;;;;;;;"17323";Saint-Denis-d'Oléron
-0.5279224;44.6815032004955;node/428854450;toilettes_publiques;;;yes;;;no;;;;;;;;;;;;"33213";La Brède
0.5819707;45.8839076003601;node/4294507200;toilettes_erp;U Express;;;;;;;;;;;;;;;;;"16192";Terres-de-Haute-Charente
-1.4357368;43.7092311005399;node/4294548838;toilettes_publiques;;;yes;yes;;;;yes;;;;;flush;;;;;"40296";Seignosse
1.1521463;44.813629700485;node/4294773392;toilettes_publiques;;;limited;yes;;no;;;;;;yes;;;;;no;"24086";Castelnaud-la-Chapelle
0.7691397;44.5330169005061;node/4294836598;toilettes_publiques;;;;;;;;;;;;;;;;;;"47175";Monflanquin
1.0450972;44.8686926004802;node/4296819891;toilettes_publiques;;;;;;;;;;;;;;;;;;"24396";Saint-Cyprien
-0.284364;45.0812502004603;node/4306169340;toilettes_publiques;;;;;;;;;;;;;;;;;;"33230";Lapouyade
-0.2876107;45.0867127004597;node/4306169362;toilettes_publiques;;;;;;;;;;;;;;;;;;"33230";Lapouyade
-0.6494037;44.7435158004907;node/4306459021;toilettes_publiques;;;;;;;;;;;;;;;;;;"33090";Canéjan
-1.3172273;45.9936268003435;node/4307024321;toilettes_publiques;;;;;;;;;;;;;;;;;;"17337";Saint-Georges-d'Oléron
0.6836764;46.2378126003041;node/4307341495;toilettes_publiques;;;;;;;;;;;;;;;;;;"86112";L'Isle-Jourdain
